"Rk","Driver","#","Start","Run Pos","Finish","In Top-15","Laps Led","Lowest","Average","Highest"
"1","Jimmie Johnson","5","8.0","6.0","8.0","96.6%","251","99.7","116.6","144.0"
"2","Kyle Busch","5","10.0","5.6","8.8","97.1%","241","95.0","115.4","130.6"
"3","Brad Keselowski","5","9.8","8.0","4.4","91.5%","144","89.6","110.0","133.3"
"4","Matt Kenseth","5","6.2","8.8","11.0","87.7%","138","83.6","104.6","136.7"
"5","Kyle Larson","2","14.0","10.5","5.0","82.4%","22","90.8","100.5","110.1"
"6","Kurt Busch","5","14.4","12.8","10.6","66.8%","101","59.4","100.1","125.6"
"7","Kevin Harvick","5","19.0","13.2","12.8","63.9%","91","77.3","98.9","127.5"
"8","Ryan Newman","5","10.4","11.2","8.4","71.9%","19","86.6","96.0","107.4"
"9","Joey Logano","5","10.2","12.4","14.0","67.9%","33","71.7","95.0","110.9"
"10","Dale Earnhardt Jr.","5","14.6","12.6","13.8","75.2%","2","71.2","90.2","104.9"
